ST,ORI,GRP,DIV,YEAR,MSA,CD1,CD2,CD3,ADJD,OFF,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M24,F3,F4,F5,F6,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F24,AW,AB,AI,AO1,AH,AN
Alabama,AL00103,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",050,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alabama,AL00103,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",060,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alabama,AL00103,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",150,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Alabama,AL00103,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",210,0,0,1,0,0,0,0,1,0,0,0,6,4,2,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,29,2,0,0,0,0
Alabama,AL00103,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",230,0,1,2,0,0,0,0,0,2,0,1,7,5,9,13,3,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,63,9,0,0,0,0
Alabama,AL00103,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",240,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0
Alabama,AL00104,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",040,0,0,0,2,2,4,2,0,1,0,0,2,1,1,3,3,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,5,25,0,0,0,0
Alabama,AL00104,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",060,0,0,6,10,4,1,4,0,0,0,0,3,2,6,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,2,2,1,0,1,0,0,9,38,0,0,0,0
Alabama,AL00104,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",080,0,0,0,1,3,1,2,0,1,1,2,7,10,4,5,4,4,0,0,0,1,0,1,0,1,0,0,1,0,1,2,2,0,1,2,0,12,45,0,0,0,0
Alabama,AL00104,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Alabama,AL00104,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",130,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
